Sample,Density [g_per_cm3],Density SEM [g_per_cm3],Crystallinity [%],Mw(IR) [g_per_mol],Dispersity (IR),Mw(MALS) [g_per_mol],Dispersity(MALS),Mw(Viscometer) [g_per_mol],Dispersity(Viscometer),MHa,MHK [dL_per_g],SCB_per_1000C (IR),SCB_per_1000C StDev (IR),LCBf_per_1000C  (MALS),LCBf_per_1000C  StDev (MALS)
S0024LDPE,0.916496736,0.001253648,0.486852861,159150,9.645,339950,17.995,514550,23.885,0.41355,0.0072525,28.9,1.13137085,0.7389,0.283408398
S0011PP,0.911210745,0.003404925,0.438083052,420500,7.48,246350,6.185,578300,8.17,0.73,0.000176,331.6,1.272792206,0.00045,0.000494975
S0040HDPE,0.956345128,0.001766161,0.62489782,144400,7.98,134850,8.75,167250,8.21,0.71295,0.0004775,7.35,0.777817459,0.2025,0.0145664
H0007HDPE,0.95171828,0.001084829,0.557356948,138000,12.64,134300,11.42,174200,13.435,0.696,0.0005515,8.7,2.404163056,0.134,0.008
H0008HDPE,0.953928181,0.002385313,0.655347411,133700,7.51,111600,8.665,158850,7.985,0.698,0.000576,6.75,0.353553,0.07885,0.105005
S0048HDPE,0.956358055,0.001546178,0.603814714,60350,3.755,53700,4.365,71050,3.625,0.703,0.000544,9.7,0.424264069,0.0672,0.092913831
H0002LDPE,0.924074082,0.000519074,0.40023842,56650,4.22,80000,6.74,109800,6.485,0.425,0.00733,27.4,0.565685425,1.159,0.244
H0003LDPE,0.905572741,0.008210101,0.375817439,209350,12.57,558850,25.92,786500,38.465,0.377,0.010671,28.8,3.676955262,0.336,0.073
H0004LLDPE,0.911319189,0.000891985,0.427350136,138450,5.68,117850,3.78,175350,6.195,0.746,0.000298,18.6,0.141421356,1.044,1.163
H0005LLDPE,0.91961018,6.82E-05,0.329237057,133450,4.72,115300,3.06,170100,5.52,0.725,0.0003825,20.2,0.424264069,0.278,0
H0006MDPE,0.934175562,0.001049327,0.503950954,121800,9.8,103950,11.06,150950,9.39,0.723,0.000408,12.65,0.494974747,0.18,0.055
H0009PP,0.887274928,0.004276687,0.437889908,308950,6.455,168900,4.8,425900,7.015,0.763,0.000125,312.95,0.494974747,0.00205,0.001767767
S0036RPP,0.909726122,0.000283131,0.390289715,316200,6.76,184900,5.81,435400,7.325,0.725,0.00019,318.75,0.919238816,0,0
N1473LDPE,0.917100513,0.000741006,0.247115123,269200,12.755,780200,16.335,958550,36.895,0.402,0.0079,27.2,1.41,0.1,0
N1474PE,0.927198143,0.006705817,0.495299728,89050,4.73,88150,4.02,109400,4.96,0.7053,0.0005,10.9,2.26,0.08,0.05
N1476LDPE,0.919726929,0.001672701,0.312646458,75900,4.17,109950,3.915,124750,5.565,0.5936,0.0012,21.2,1.56,0.04,0.01
S0052PP,0.893196651,0.005016647,0.382844037,226500,7.18,129800,6.33,294150,6.645,0.768,0.000125,293.65,1.060660172,0,0
S0081LDPE,0.921308182,0.000369525,0.370844687,164650,9.795,417400,5.7,379900,17.52,0.6326,0.000527,23.6,0.282842712,0.01175,0.000919239
H0001ULDPE,0.918801384,0.000794457,0.346253406,138200,4.98,120150,3.82,169700,5.525,0.721,0.0004225,15.4,1.414213562,0.174,0.045